[INFO ]  [2023-09-03 15:57:56,390] Register - Step 01: Navigate to ' Register' page
[INFO ]  [2023-09-03 15:57:57,609] Register - Step 02: Enter to FirstName textbox with value is 'Thu'
[INFO ]  [2023-09-03 15:57:57,887] Register - Step 03: Enter to LastName textbox with value is 'Duong'
[INFO ]  [2023-09-03 15:57:58,145] Register - Step 04: Enter to Email Address textbox with value is 'afc906@gmail.com'
[INFO ]  [2023-09-03 15:57:58,393] Register - Step 05: Enter to Password textbox with value is '123456'
[INFO ]  [2023-09-03 15:57:58,628] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[INFO ]  [2023-09-03 15:57:58,885] Register - Step 07: Click to 'Register' button
[INFO ]  [2023-09-03 15:57:59,869] Register - Step 08: Verify register success message is displayed
[INFO ]  [2023-09-03 15:58:00,011] Login - Step 01: Navigate to 'Login Page'
[INFO ]  [2023-09-03 15:58:00,581] Register - Step 02: Enter to Email textbox with value is 'afc906@gmail.com'
[INFO ]  [2023-09-03 15:58:00,846] Register - Step 03: Enter to Password textbox with value is '123456'
[INFO ]  [2023-09-03 15:58:01,096] Register - Step 04: Click to Login button
[INFO ]  [2023-09-03 15:58:02,662] Register - Step 05: Verify 'My Account' link is displayed
[INFO ]  [2023-09-03 15:58:02,777] Register - Step 06: Navigate to 'My Account' page
[INFO ]  [2023-09-03 15:58:03,344] Register - Step 07: Verify Customer Infor page is displayed
[2023-09-03 16:27:56,095] Register - Step 01: Navigate to ' Register' page
[2023-09-03 16:27:57,079] Register - Step 02: Enter to FirstName textbox with value is 'Thu'
[2023-09-03 16:27:57,208] Register - Step 03: Enter to LastName textbox with value is 'Duong'
[2023-09-03 16:27:57,339] Register - Step 04: Enter to Email Address textbox with value is 'afc5428@gmail.com'
[2023-09-03 16:27:57,465] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-09-03 16:27:57,599] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-09-03 16:27:57,734] Register - Step 07: Click to 'Register' button
